,cor_mean_rank,cor_std_rank,all_mean_rank,all_std_rank,cor_mean_prob,cor_std_prob,all_mean_prob,all_std_prob
0,14496.666666666666,19677.587933709987,15890.737844611529,28608.112570686873,5.9435833766959455e-05,4.301998219915665e-05,8.372891615049365e-05,0.00013869146459814186
1,14132.666666666666,15947.703248082118,19468.6686716792,28272.26141722847,2.5462766643613577e-05,1.1777658220177867e-05,4.124613776804567e-05,5.748496917829029e-05
2,47652.333333333336,30319.718658911657,28159.007518796992,34318.14881487119,1.1073042590699819e-05,9.762820294780128e-06,3.0591695890139694e-05,3.988250818581659e-05
3,33727.666666666664,23539.15559705195,19651.222556390978,30195.3503710865,1.4307600091948794e-05,1.039767456053899e-05,3.961766429958452e-05,4.169256216718812e-05
4,36956.666666666664,25997.211649628036,18960.838095238094,30987.28953500398,3.6707601187420856e-05,4.443149432796808e-05,5.645037296995726e-05,7.210668151012836e-05
5,32221.666666666668,24148.842130052988,17221.637593984964,30539.885032543807,7.57675191683423e-05,9.672296105921451e-05,7.406970906409944e-05,0.00011086617422089303
6,34802.0,29397.189389463747,16747.04060150376,29726.562513432655,7.150578206468101e-05,9.257542563837668e-05,8.923962821029505e-05,0.00013837551935758031
7,6122.333333333333,5120.086023582894,17012.528822055137,28678.386360675435,0.00011248609007452615,0.00013013044425058822,0.00010642032331916163,0.00018337301763303093
8,11616.0,9679.312923274392,16493.772431077694,27986.78881000966,8.237125105855132e-05,9.512598731445332e-05,9.727983411118457e-05,0.0001768650243089741
9,2066.6666666666665,2819.5443288273054,18814.284711779448,30153.862987464923,0.00013143752403266262,9.610340475934737e-05,7.866898045518834e-05,0.00013288261439057216
10,750.6666666666666,1041.1392264672813,15525.268671679198,26029.846054270445,0.0005931651891539028,0.0006761638967895366,7.791805869526938e-05,0.00011948247071862264
11,20.333333333333332,23.837412238374835,13401.008521303258,24390.96711720774,0.0015783338312758133,0.0015570181923886771,9.086923970765806e-05,0.00016060494578090946
12,1.0,0.0,31033.67919799499,34540.555144083875,0.001100567344110459,0.0003383084019004564,3.5587470846769034e-05,7.20968881659611e-05
