,cor_mean,cor_std,all_mean,all_std
0,,,9.169430380691558e-06,1.618363438023169e-05
1,,,1.3570773991806189e-05,2.37219668522361e-05
2,,,2.2664121404130054e-05,3.898505015987984e-05
3,,,2.092707706815828e-05,3.958052378618954e-05
4,,,1.6394111555159623e-05,2.6743291638779815e-05
5,,,1.7797970153331787e-05,2.9481039981846912e-05
6,,,2.7492163584688764e-05,4.8960110350409304e-05
7,,,4.5223210195001145e-05,8.568014385857812e-05
8,,,8.46353333177571e-05,0.00020211466331377395
9,,,6.41650438597493e-05,0.00013725271861186888
10,,,5.2416370550203654e-05,0.00010502639966427847
11,,,9.071467215402033e-05,0.00021828343990109813
