,cor_mean_rank,cor_std_rank,all_mean_rank,all_std_rank,cor_mean_prob,cor_std_prob,all_mean_prob,all_std_prob
0,61892.666666666664,32815.37235639554,63000.15087719298,31536.996018127822,1.7098264221138137e-08,1.217334605240488e-08,2.671965605871625e-07,2.7040762140877373e-06
1,83440.33333333333,24138.996531661283,83395.17593984962,26473.905829160336,6.198861178038685e-08,6.61948770522981e-08,2.534478979249638e-07,2.4999630884420353e-06
2,68452.33333333333,19853.03429929261,73159.55839598998,32273.455705624856,1.3921811875539092e-07,1.506841194752402e-07,1.9696893803748942e-06,1.7264419925607046e-05
3,65158.333333333336,14888.455938149606,67219.39949874686,32615.288771900912,1.122774804148315e-07,1.1741425368658169e-07,3.7783603828913876e-06,3.0476150799956565e-05
4,44185.0,6870.310376297905,59215.24812030075,31633.50137110306,2.7717426457722166e-07,1.938118778546887e-07,5.425693824010466e-06,6.773370457742148e-05
5,60456.333333333336,17312.597423713047,77823.78897243108,26019.991465077084,7.1007207891327084e-09,4.335753108213747e-09,1.6115687474585498e-07,3.272432876345761e-06
6,61358.666666666664,28676.617889066965,93367.02656641604,23041.29256592534,2.950150694106905e-08,4.008936788745794e-08,1.3562742907586156e-07,3.5614038501900125e-06
7,33396.666666666664,23164.305332894306,91770.4305764411,27844.353354079398,6.549948480231531e-05,9.260475235422121e-05,3.6594860030644296e-06,0.0001316699799159744
8,25295.333333333332,17482.03665353541,91663.08822055138,26955.87437943977,6.744139805518283e-05,9.522438361076073e-05,1.0181208055932117e-06,3.576665187057957e-05
9,22167.333333333332,16842.768128256776,87366.0947368421,28575.18675979984,0.007222318578895918,0.01021373587253203,1.2173909943485724e-05,0.0004867094298148271
10,22740.666666666668,16256.510292460955,88088.72180451128,29662.02868225923,0.007977220725731963,0.011281254954420585,1.6343641055836977e-05,0.0005411043306186911
11,11964.0,14688.897916453774,84942.91829573935,33077.35712884896,0.32640428652304365,0.46156698811035285,0.0005105048978490638,0.021919231959474553
12,1.0,0.0,8447.178446115287,14535.11247389606,0.5203647414843241,0.3373133353238122,0.0016060730080660714,0.02614754044304731
